sequence:0|latency:0.094195|reception:0.094195|generation:0.0
sequence:1|latency:0.127858|reception:0.804766|generation:0.676908
sequence:2|latency:0.131222|reception:1.256316|generation:1.125094
sequence:3|latency:0.110183|reception:2.097174|generation:1.986991
sequence:4|latency:0.135566|reception:3.358055|generation:3.222489
sequence:5|latency:0.102486|reception:4.363234|generation:4.260748
sequence:6|latency:0.09845|reception:4.460394|generation:4.361944
sequence:7|latency:0.126105|reception:4.562657|generation:4.436552
sequence:8|latency:0.075962|reception:5.102322|generation:5.02636
sequence:9|latency:0.120868|reception:5.265778|generation:5.14491
sequence:10|latency:0.060288|reception:5.713092|generation:5.652804
sequence:11|latency:0.110026|reception:5.884888|generation:5.774862
sequence:12|latency:0.145336|reception:7.930737|generation:7.785401
sequence:13|latency:0.192534|reception:8.039857|generation:7.847323
sequence:14|latency:0.111873|reception:8.139854|generation:8.027981
sequence:15|latency:0.069404|reception:8.255417|generation:8.186013
sequence:16|latency:0.097253|reception:8.428035|generation:8.330782
sequence:17|latency:0.194493|reception:8.536524|generation:8.342031
sequence:18|latency:0.184043|reception:8.622891|generation:8.438848
sequence:19|latency:0.089796|reception:8.821949|generation:8.732153
sequence:20|latency:0.153881|reception:9.001308|generation:8.847427
sequence:21|latency:0.067379|reception:9.699178|generation:9.631799
sequence:22|latency:0.086399|reception:9.909007|generation:9.822608
total run time:9.814812
