sequence:0|latency:0.126533|reception:0.126533|generation:0.0
sequence:1|latency:0.124708|reception:0.624828|generation:0.50012
sequence:2|latency:0.091683|reception:1.091806|generation:1.000123
sequence:3|latency:0.149759|reception:1.64988|generation:1.500121
sequence:4|latency:0.102612|reception:2.102755|generation:2.000143
sequence:5|latency:0.102547|reception:2.602653|generation:2.500106
sequence:6|latency:0.061433|reception:3.061518|generation:3.000085
sequence:7|latency:0.151351|reception:3.651473|generation:3.500122
sequence:8|latency:0.099627|reception:4.099706|generation:4.000079
sequence:9|latency:0.111842|reception:4.611965|generation:4.500123
sequence:10|latency:0.140675|reception:5.140821|generation:5.000146
sequence:11|latency:0.067502|reception:5.567591|generation:5.500089
sequence:12|latency:0.107651|reception:6.107771|generation:6.00012
sequence:13|latency:0.116985|reception:6.617083|generation:6.500098
sequence:14|latency:0.063139|reception:7.06326|generation:7.000121
sequence:15|latency:0.132904|reception:7.633012|generation:7.500108
sequence:16|latency:0.105882|reception:8.106002|generation:8.00012
sequence:17|latency:0.070425|reception:8.570488|generation:8.500063
sequence:18|latency:0.131824|reception:9.131944|generation:9.00012
sequence:19|latency:0.089128|reception:9.589227|generation:9.500099
sequence:20|latency:0.066407|reception:10.066529|generation:10.000122
sequence:21|latency:0.074011|reception:10.574137|generation:10.500126
sequence:22|latency:0.103939|reception:11.10403|generation:11.000091
sequence:23|latency:0.095904|reception:11.596036|generation:11.500132
sequence:24|latency:0.117595|reception:12.117719|generation:12.000124
sequence:25|latency:0.131857|reception:12.631981|generation:12.500124
sequence:26|latency:0.073401|reception:13.073473|generation:13.000072
sequence:27|latency:0.065535|reception:13.565631|generation:13.500096
sequence:28|latency:0.147845|reception:14.147909|generation:14.000064
sequence:29|latency:0.065275|reception:14.565399|generation:14.500124
sequence:30|latency:0.123225|reception:15.123274|generation:15.000049
sequence:31|latency:0.075761|reception:15.575805|generation:15.500044
sequence:32|latency:0.157673|reception:16.157755|generation:16.000082
sequence:33|latency:0.064657|reception:16.564779|generation:16.500122
sequence:34|latency:0.071858|reception:17.071982|generation:17.000124
sequence:35|latency:0.110111|reception:17.610182|generation:17.500071
sequence:36|latency:0.079898|reception:18.080021|generation:18.000123
sequence:37|latency:0.079873|reception:18.58001|generation:18.500137
sequence:38|latency:0.081832|reception:19.081982|generation:19.00015
sequence:39|latency:0.07267|reception:19.572726|generation:19.500056
sequence:40|latency:0.089083|reception:20.08915|generation:20.000067
