sequence:0|latency:0.067743|reception:0.067743|generation:0.0
sequence:1|latency:0.156035|reception:0.349423|generation:0.193388
sequence:2|latency:0.237039|reception:0.503216|generation:0.266177
sequence:3|latency:0.252743|reception:0.715352|generation:0.462609
sequence:4|latency:0.060904|reception:1.123191|generation:1.062287
sequence:5|latency:0.12433|reception:1.811197|generation:1.686867
sequence:6|latency:0.198469|reception:1.961488|generation:1.763019
sequence:7|latency:0.093717|reception:2.259009|generation:2.165292
sequence:8|latency:0.09388|reception:2.334063|generation:2.240183
sequence:9|latency:0.218727|reception:2.479535|generation:2.260808
sequence:10|latency:0.189587|reception:2.542015|generation:2.352428
sequence:11|latency:0.297658|reception:2.652604|generation:2.354946
sequence:12|latency:0.357581|reception:2.763819|generation:2.406238
sequence:13|latency:0.2144|reception:2.902081|generation:2.687681
sequence:14|latency:0.137232|reception:3.887289|generation:3.750057
sequence:15|latency:0.104409|reception:4.296829|generation:4.19242
sequence:16|latency:0.132743|reception:4.484461|generation:4.351718
sequence:17|latency:0.130963|reception:4.661191|generation:4.530228
sequence:18|latency:0.086019|reception:4.779281|generation:4.693262
sequence:19|latency:0.158542|reception:5.112076|generation:4.953534
sequence:20|latency:0.061668|reception:5.435636|generation:5.373968
sequence:21|latency:0.189058|reception:5.656206|generation:5.467148
sequence:22|latency:0.175241|reception:5.785492|generation:5.610251
sequence:23|latency:0.226105|reception:5.877908|generation:5.651803
sequence:24|latency:0.130312|reception:6.108927|generation:5.978615
sequence:25|latency:0.126433|reception:6.265876|generation:6.139443
sequence:26|latency:0.104038|reception:6.390824|generation:6.286786
sequence:27|latency:0.112596|reception:6.535219|generation:6.422623
sequence:28|latency:0.142382|reception:6.721569|generation:6.579187
sequence:29|latency:0.138993|reception:6.899175|generation:6.760182
sequence:30|latency:0.090039|reception:7.306871|generation:7.216832
sequence:31|latency:0.120643|reception:7.422967|generation:7.302324
sequence:32|latency:0.13716|reception:7.487864|generation:7.350704
sequence:33|latency:0.246626|reception:7.642769|generation:7.396143
sequence:34|latency:0.097586|reception:8.216208|generation:8.118622
sequence:35|latency:0.205166|reception:8.359873|generation:8.154707
sequence:36|latency:0.318591|reception:8.50796|generation:8.189369
sequence:37|latency:0.395154|reception:8.6529|generation:8.257746
sequence:38|latency:0.528768|reception:8.792872|generation:8.264104
sequence:39|latency:0.535315|reception:8.9269|generation:8.391585
sequence:40|latency:0.544627|reception:9.034136|generation:8.489509
sequence:41|latency:0.574732|reception:9.166108|generation:8.591376
sequence:42|latency:0.541564|reception:9.265197|generation:8.723633
sequence:43|latency:0.438869|reception:9.352534|generation:8.913665
sequence:44|latency:0.475479|reception:9.422711|generation:8.947232
sequence:45|latency:0.448843|reception:9.526445|generation:9.077602
sequence:46|latency:0.411928|reception:9.629674|generation:9.217746
sequence:47|latency:0.293493|reception:9.75426|generation:9.460767
sequence:48|latency:0.36899|reception:9.84416|generation:9.47517
sequence:49|latency:0.480085|reception:9.967871|generation:9.487786
sequence:50|latency:0.474709|reception:10.07532|generation:9.600611
sequence:51|latency:0.063103|reception:10.25189|generation:10.188787
sequence:52|latency:0.065075|reception:10.367634|generation:10.302559
sequence:53|latency:0.099262|reception:10.971039|generation:10.871777
sequence:54|latency:0.176577|reception:11.077467|generation:10.90089
sequence:55|latency:0.196638|reception:11.151999|generation:10.955361
sequence:56|latency:0.187079|reception:11.278878|generation:11.091799
sequence:57|latency:0.115718|reception:11.421098|generation:11.30538
sequence:58|latency:0.098045|reception:11.666624|generation:11.568579
sequence:59|latency:0.172895|reception:11.74908|generation:11.576185
sequence:60|latency:0.245659|reception:11.879833|generation:11.634174
sequence:61|latency:0.120128|reception:11.953082|generation:11.832954
sequence:62|latency:0.144519|reception:12.074658|generation:11.930139
sequence:63|latency:0.148357|reception:12.204116|generation:12.055759
sequence:64|latency:0.145855|reception:12.559674|generation:12.413819
sequence:65|latency:0.1587|reception:12.661119|generation:12.502419
sequence:66|latency:0.11148|reception:12.813673|generation:12.702193
sequence:67|latency:0.128479|reception:13.7999|generation:13.671421
