sequence:0|latency:0.290417|reception:0.290417|generation:0.0
sequence:1|latency:0.241657|reception:0.42942|generation:0.187763
sequence:2|latency:0.075433|reception:0.610622|generation:0.535189
sequence:3|latency:0.070767|reception:0.730253|generation:0.659486
sequence:4|latency:0.116221|reception:0.811132|generation:0.694911
sequence:5|latency:0.15875|reception:1.411259|generation:1.252509
sequence:6|latency:0.077594|reception:1.731776|generation:1.654182
sequence:7|latency:0.059238|reception:1.89342|generation:1.834182
sequence:8|latency:0.104134|reception:2.047674|generation:1.94354
sequence:9|latency:0.161947|reception:2.16169|generation:1.999743
sequence:10|latency:0.205137|reception:2.225522|generation:2.020385
sequence:11|latency:0.24199|reception:2.382285|generation:2.140295
sequence:12|latency:0.267629|reception:2.490036|generation:2.222407
sequence:13|latency:0.147077|reception:2.633342|generation:2.486265
sequence:14|latency:0.137013|reception:2.846173|generation:2.70916
sequence:15|latency:0.275242|reception:2.992699|generation:2.717457
sequence:16|latency:0.350464|reception:3.135718|generation:2.785254
sequence:17|latency:0.226581|reception:3.236808|generation:3.010227
sequence:18|latency:0.24595|reception:3.3319|generation:3.08595
sequence:19|latency:0.137551|reception:3.690413|generation:3.552862
sequence:20|latency:0.167868|reception:3.777803|generation:3.609935
sequence:21|latency:0.110314|reception:4.095797|generation:3.985483
sequence:22|latency:0.185428|reception:4.184469|generation:3.999041
sequence:23|latency:0.336177|reception:4.337286|generation:4.001109
sequence:24|latency:0.406715|reception:4.459608|generation:4.052893
sequence:25|latency:0.464995|reception:4.537086|generation:4.072091
sequence:26|latency:0.594998|reception:4.679206|generation:4.084208
sequence:27|latency:0.731773|reception:4.82388|generation:4.092107
sequence:28|latency:0.196728|reception:4.913729|generation:4.717001
sequence:29|latency:0.088491|reception:5.034383|generation:4.945892
sequence:30|latency:0.128409|reception:5.288219|generation:5.15981
sequence:31|latency:0.2306|reception:5.433684|generation:5.203084
sequence:32|latency:0.215208|reception:5.547659|generation:5.332451
sequence:33|latency:0.172103|reception:5.689245|generation:5.517142
sequence:34|latency:0.148671|reception:6.269153|generation:6.120482
sequence:35|latency:0.154352|reception:6.636417|generation:6.482065
sequence:36|latency:0.075164|reception:6.738107|generation:6.662943
sequence:37|latency:0.078786|reception:7.126614|generation:7.047828
sequence:38|latency:0.125434|reception:7.333521|generation:7.208087
sequence:39|latency:0.212246|reception:7.482766|generation:7.27052
sequence:40|latency:0.252694|reception:7.573793|generation:7.321099
sequence:41|latency:0.496836|reception:8.118419|generation:7.621583
sequence:42|latency:0.572205|reception:8.204223|generation:7.632018
sequence:43|latency:0.982591|reception:8.858076|generation:7.875485
sequence:44|latency:0.998768|reception:9.077752|generation:8.078984
sequence:45|latency:1.206733|reception:9.631806|generation:8.425073
sequence:46|latency:0.982351|reception:9.765267|generation:8.782916
sequence:47|latency:1.025641|reception:9.847657|generation:8.822016
sequence:48|latency:0.932242|reception:9.947016|generation:9.014774
sequence:49|latency:0.931257|reception:10.013305|generation:9.082048
sequence:50|latency:1.029742|reception:10.14857|generation:9.118828
sequence:51|latency:1.067813|reception:10.21495|generation:9.147137
sequence:52|latency:1.151789|reception:10.359483|generation:9.207694
sequence:53|latency:1.163967|reception:10.427696|generation:9.263729
sequence:54|latency:1.270348|reception:10.56515|generation:9.294802
sequence:55|latency:1.527011|reception:10.996516|generation:9.469505
sequence:56|latency:1.504304|reception:11.063827|generation:9.559523
total run time:10.77341
