sequence:0|latency:0.378067|reception:0.378067|generation:0.0
sequence:1|latency:0.206344|reception:0.474407|generation:0.268063
sequence:2|latency:0.107832|reception:0.640314|generation:0.532482
sequence:3|latency:0.082514|reception:0.854409|generation:0.771895
sequence:4|latency:0.135995|reception:1.255671|generation:1.119676
sequence:5|latency:0.138385|reception:1.53631|generation:1.397925
sequence:6|latency:0.209653|reception:1.619093|generation:1.40944
sequence:7|latency:0.098534|reception:1.741811|generation:1.643277
sequence:8|latency:0.100932|reception:2.684426|generation:2.583494
sequence:9|latency:0.075744|reception:3.24692|generation:3.171176
sequence:10|latency:0.107156|reception:3.467113|generation:3.359957
sequence:11|latency:0.132478|reception:3.586098|generation:3.45362
sequence:12|latency:0.122126|reception:3.814149|generation:3.692023
sequence:13|latency:0.099278|reception:4.15634|generation:4.057062
sequence:14|latency:0.072417|reception:4.467117|generation:4.3947
sequence:15|latency:0.157292|reception:4.633298|generation:4.476006
sequence:16|latency:0.133353|reception:4.734168|generation:4.600815
sequence:17|latency:0.089206|reception:4.932661|generation:4.843455
sequence:18|latency:0.076063|reception:5.186984|generation:5.110921
sequence:19|latency:0.080492|reception:5.708361|generation:5.627869
sequence:20|latency:0.075389|reception:6.782365|generation:6.706976
sequence:21|latency:0.074773|reception:7.095348|generation:7.020575
sequence:22|latency:0.10788|reception:7.226398|generation:7.118518
sequence:23|latency:0.376845|reception:7.87934|generation:7.502495
sequence:24|latency:0.501326|reception:8.53675|generation:8.035424
sequence:25|latency:0.629591|reception:8.909012|generation:8.279421
sequence:26|latency:0.680495|reception:9.288166|generation:8.607671
sequence:27|latency:0.70274|reception:9.347459|generation:8.644719
sequence:28|latency:0.729103|reception:9.791271|generation:9.062168
sequence:29|latency:0.709713|reception:9.935184|generation:9.225471
total run time:9.557117
