sequence:0|latency:0.155638|reception:0.155638|generation:0.0
sequence:1|latency:0.14116|reception:0.910788|generation:0.769628
sequence:2|latency:0.086899|reception:1.165861|generation:1.078962
sequence:3|latency:0.071627|reception:2.058419|generation:1.986792
sequence:4|latency:0.150623|reception:2.313346|generation:2.162723
sequence:5|latency:0.167789|reception:2.4572|generation:2.289411
sequence:6|latency:0.079678|reception:2.790889|generation:2.711211
sequence:7|latency:0.153074|reception:2.950057|generation:2.796983
sequence:8|latency:0.080239|reception:3.081794|generation:3.001555
sequence:9|latency:0.130564|reception:3.857566|generation:3.727002
sequence:10|latency:0.140863|reception:4.885832|generation:4.744969
sequence:11|latency:0.110236|reception:5.676971|generation:5.566735
sequence:12|latency:0.09853|reception:5.781682|generation:5.683152
sequence:13|latency:0.135013|reception:6.051418|generation:5.916405
sequence:14|latency:0.252152|reception:6.455322|generation:6.20317
sequence:15|latency:0.208006|reception:6.611625|generation:6.403619
sequence:16|latency:0.282028|reception:6.702931|generation:6.420903
sequence:17|latency:0.08241|reception:6.921134|generation:6.838724
sequence:18|latency:0.154077|reception:7.587366|generation:7.433289
sequence:19|latency:0.094624|reception:7.873932|generation:7.779308
sequence:20|latency:0.135389|reception:8.25452|generation:8.119131
sequence:21|latency:0.077019|reception:8.404405|generation:8.327386
sequence:22|latency:0.100125|reception:9.548653|generation:9.448528
sequence:23|latency:0.140589|reception:10.053251|generation:9.912662
sequence:24|latency:0.154589|reception:10.331557|generation:10.176968
sequence:25|latency:0.077041|reception:10.467571|generation:10.39053
sequence:26|latency:0.094609|reception:11.362533|generation:11.267924
sequence:27|latency:0.112453|reception:11.837673|generation:11.72522
sequence:28|latency:0.123537|reception:12.199371|generation:12.075834
sequence:29|latency:0.109457|reception:12.509902|generation:12.400445
sequence:30|latency:0.152404|reception:12.668366|generation:12.515962
sequence:31|latency:0.21847|reception:12.761934|generation:12.543464
sequence:32|latency:0.15556|reception:12.945747|generation:12.790187
sequence:33|latency:0.091842|reception:13.641423|generation:13.549581
sequence:34|latency:0.208109|reception:13.762242|generation:13.554133
sequence:35|latency:0.155049|reception:14.610597|generation:14.455548
sequence:36|latency:0.16091|reception:14.696622|generation:14.535712
sequence:37|latency:0.113648|reception:15.087503|generation:14.973855
sequence:38|latency:0.164614|reception:15.196563|generation:15.031949
sequence:39|latency:0.208262|reception:15.612262|generation:15.404
sequence:40|latency:0.121013|reception:15.845713|generation:15.7247
sequence:41|latency:0.236042|reception:16.000599|generation:15.764557
sequence:42|latency:0.091928|reception:16.151652|generation:16.059724
sequence:43|latency:0.148483|reception:17.021208|generation:16.872725
sequence:44|latency:0.12542|reception:17.317221|generation:17.191801
sequence:45|latency:0.184699|reception:17.436437|generation:17.251738
sequence:46|latency:0.168284|reception:17.571211|generation:17.402927
sequence:47|latency:0.09435|reception:17.863248|generation:17.768898
sequence:48|latency:0.069781|reception:18.542589|generation:18.472808
sequence:49|latency:0.100733|reception:18.64658|generation:18.545847
sequence:50|latency:0.13596|reception:18.806641|generation:18.670681
sequence:51|latency:0.108987|reception:19.023012|generation:18.914025
sequence:52|latency:0.086613|reception:19.361556|generation:19.274943
sequence:53|latency:0.140661|reception:19.524013|generation:19.383352
sequence:54|latency:0.147294|reception:19.635402|generation:19.488108
sequence:55|latency:0.177814|reception:19.74399|generation:19.566176
sequence:56|latency:0.142854|reception:20.172172|generation:20.029318
sequence:57|latency:0.140624|reception:20.243295|generation:20.102671
sequence:58|latency:0.116443|reception:21.254425|generation:21.137982
sequence:59|latency:0.080279|reception:21.389392|generation:21.309113
sequence:60|latency:0.087488|reception:21.968327|generation:21.880839
sequence:61|latency:0.147759|reception:22.123655|generation:21.975896
sequence:62|latency:0.12663|reception:22.320823|generation:22.194193
sequence:63|latency:0.1142|reception:22.448416|generation:22.334216
sequence:64|latency:0.205272|reception:22.592038|generation:22.386766
sequence:65|latency:0.156815|reception:22.770728|generation:22.613913
sequence:66|latency:0.153132|reception:22.874768|generation:22.721636
sequence:67|latency:0.091878|reception:22.961892|generation:22.870014
sequence:68|latency:0.071541|reception:23.026803|generation:22.955262
sequence:69|latency:0.134173|reception:23.280343|generation:23.14617
sequence:70|latency:0.191129|reception:23.34812|generation:23.156991
sequence:71|latency:0.097343|reception:23.872354|generation:23.775011
sequence:72|latency:0.121376|reception:24.161723|generation:24.040347
sequence:73|latency:0.059341|reception:24.421634|generation:24.362293
sequence:74|latency:0.10692|reception:24.93964|generation:24.83272
sequence:75|latency:0.151526|reception:25.044312|generation:24.892786
sequence:76|latency:0.138476|reception:25.54182|generation:25.403344
sequence:77|latency:0.165311|reception:25.611517|generation:25.446206
sequence:78|latency:0.086367|reception:26.12604|generation:26.039673
sequence:79|latency:0.092495|reception:26.494493|generation:26.401998
sequence:80|latency:0.135658|reception:26.665076|generation:26.529418
sequence:81|latency:0.242265|reception:26.82333|generation:26.581065
sequence:82|latency:0.243165|reception:26.890811|generation:26.647646
sequence:83|latency:0.098864|reception:28.033198|generation:27.934334
