sequence:0|latency:0.116303|reception:0.116303|generation:0.0
sequence:1|latency:0.143595|reception:2.49398|generation:2.350385
sequence:2|latency:0.075334|reception:2.683416|generation:2.608082
sequence:3|latency:0.102031|reception:3.129874|generation:3.027843
sequence:4|latency:0.137841|reception:4.385079|generation:4.247238
sequence:5|latency:0.099211|reception:4.634184|generation:4.534973
sequence:6|latency:0.148643|reception:5.256365|generation:5.107722
sequence:7|latency:0.070226|reception:7.623975|generation:7.553749
sequence:8|latency:0.123407|reception:8.76633|generation:8.642923
sequence:9|latency:0.128569|reception:10.864665|generation:10.736096
sequence:10|latency:0.115447|reception:11.432039|generation:11.316592
sequence:11|latency:0.104201|reception:13.071674|generation:12.967473
sequence:12|latency:0.14757|reception:16.757584|generation:16.610014
sequence:13|latency:0.061205|reception:18.354121|generation:18.292916
sequence:14|latency:0.121134|reception:19.501428|generation:19.380294
sequence:15|latency:0.158087|reception:20.655164|generation:20.497077
sequence:16|latency:0.122799|reception:22.635971|generation:22.513172
sequence:17|latency:0.14337|reception:25.623474|generation:25.480104
sequence:18|latency:0.127072|reception:27.714236|generation:27.587164
sequence:19|latency:0.134152|reception:29.792501|generation:29.658349
sequence:20|latency:0.125636|reception:30.934328|generation:30.808692
sequence:21|latency:0.101522|reception:32.275988|generation:32.174466
sequence:22|latency:0.151143|reception:33.92654|generation:33.775397
sequence:23|latency:0.135059|reception:34.027418|generation:33.892359
sequence:24|latency:0.073889|reception:37.509001|generation:37.435112
sequence:25|latency:0.094953|reception:43.199515|generation:43.104562
sequence:26|latency:0.106246|reception:45.028911|generation:44.922665
sequence:27|latency:0.147847|reception:45.872769|generation:45.724922
sequence:28|latency:0.110282|reception:48.362469|generation:48.252187
sequence:29|latency:0.107562|reception:50.063987|generation:49.956425
sequence:30|latency:0.131432|reception:54.645554|generation:54.514122
sequence:31|latency:0.128297|reception:56.641606|generation:56.513309
sequence:32|latency:0.123202|reception:57.251488|generation:57.128286
sequence:33|latency:0.206627|reception:57.372255|generation:57.165628
sequence:34|latency:0.233172|reception:60.842671|generation:60.609499
sequence:35|latency:0.130153|reception:63.294134|generation:63.163981
