sequence:0|latency:0.130668|reception:0.130668|generation:0.0
sequence:1|latency:0.141437|reception:0.545942|generation:0.404505
sequence:2|latency:0.10135|reception:0.765724|generation:0.664374
sequence:3|latency:0.146668|reception:0.952695|generation:0.806027
sequence:4|latency:0.265933|reception:1.079119|generation:0.813186
sequence:5|latency:0.071534|reception:1.218143|generation:1.146609
sequence:6|latency:0.111108|reception:1.863291|generation:1.752183
sequence:7|latency:0.130742|reception:2.021818|generation:1.891076
sequence:8|latency:0.12265|reception:2.213126|generation:2.090476
sequence:9|latency:0.195776|reception:2.315255|generation:2.119479
sequence:10|latency:0.192497|reception:2.467108|generation:2.274611
sequence:11|latency:0.187447|reception:2.556293|generation:2.368846
sequence:12|latency:0.278495|reception:2.702642|generation:2.424147
sequence:13|latency:0.403333|reception:2.838017|generation:2.434684
sequence:14|latency:0.328487|reception:2.989908|generation:2.661421
sequence:15|latency:0.360556|reception:3.058031|generation:2.697475
sequence:16|latency:0.33552|reception:3.121429|generation:2.785909
sequence:17|latency:0.308966|reception:3.249149|generation:2.940183
sequence:18|latency:0.19851|reception:3.327189|generation:3.128679
sequence:19|latency:0.19234|reception:3.417214|generation:3.224874
sequence:20|latency:0.135422|reception:3.575781|generation:3.440359
sequence:21|latency:0.261157|reception:3.713575|generation:3.452418
sequence:22|latency:0.137959|reception:3.8751|generation:3.737141
sequence:23|latency:0.167428|reception:4.03451|generation:3.867082
sequence:24|latency:0.240239|reception:4.184277|generation:3.944038
sequence:25|latency:0.35133|reception:4.320632|generation:3.969302
sequence:26|latency:0.316837|reception:4.420722|generation:4.103885
sequence:27|latency:0.394523|reception:4.525281|generation:4.130758
sequence:28|latency:0.523133|reception:4.675302|generation:4.152169
sequence:29|latency:0.568619|reception:4.751384|generation:4.182765
sequence:30|latency:0.528799|reception:4.861902|generation:4.333103
sequence:31|latency:0.552215|reception:4.921139|generation:4.368924
sequence:32|latency:0.658971|reception:5.048604|generation:4.389633
sequence:33|latency:0.629218|reception:5.114658|generation:4.48544
sequence:34|latency:0.447569|reception:5.204697|generation:4.757128
sequence:35|latency:0.493173|reception:5.279392|generation:4.786219
sequence:36|latency:0.579317|reception:5.436405|generation:4.857088
sequence:37|latency:0.382945|reception:5.498636|generation:5.115691
sequence:38|latency:0.272154|reception:5.62138|generation:5.349226
sequence:39|latency:0.390406|reception:5.761959|generation:5.371553
sequence:40|latency:0.507289|reception:5.881726|generation:5.374437
sequence:41|latency:0.548916|reception:6.013329|generation:5.464413
sequence:42|latency:0.525008|reception:6.130375|generation:5.605367
sequence:43|latency:0.564561|reception:6.229567|generation:5.665006
sequence:44|latency:0.579819|reception:6.355161|generation:5.775342
sequence:45|latency:0.644156|reception:6.498028|generation:5.853872
sequence:46|latency:0.584531|reception:6.55706|generation:5.972529
sequence:47|latency:0.095329|reception:7.177721|generation:7.082392
sequence:48|latency:0.163453|reception:7.258255|generation:7.094802
sequence:49|latency:0.204611|reception:7.349738|generation:7.145127
sequence:50|latency:0.262967|reception:7.504204|generation:7.241237
sequence:51|latency:0.073018|reception:7.597274|generation:7.524256
sequence:52|latency:0.092446|reception:7.684585|generation:7.592139
sequence:53|latency:0.114843|reception:7.769184|generation:7.654341
sequence:54|latency:0.15301|reception:7.895245|generation:7.742235
sequence:55|latency:0.094566|reception:8.062888|generation:7.968322
sequence:56|latency:0.153628|reception:8.225362|generation:8.071734
sequence:57|latency:0.204335|reception:8.28644|generation:8.082105
sequence:58|latency:0.135379|reception:8.698368|generation:8.562989
sequence:59|latency:0.140475|reception:8.855301|generation:8.714826
sequence:60|latency:0.157425|reception:8.915844|generation:8.758419
sequence:61|latency:0.152764|reception:9.048088|generation:8.895324
sequence:62|latency:0.120176|reception:9.314103|generation:9.193927
sequence:63|latency:0.132457|reception:9.398627|generation:9.26617
sequence:64|latency:0.267632|reception:9.549749|generation:9.282117
sequence:65|latency:0.141179|reception:9.608735|generation:9.467556
sequence:66|latency:0.11498|reception:9.706645|generation:9.591665
sequence:67|latency:0.090315|reception:9.780135|generation:9.68982
sequence:68|latency:0.106749|reception:9.914986|generation:9.808237
total run time:9.784318
