sequence:0|latency:0.354301|reception:0.354301|generation:0.0
sequence:1|latency:0.371644|reception:0.484314|generation:0.11267
sequence:2|latency:0.298659|reception:0.571651|generation:0.272992
sequence:3|latency:0.292881|reception:0.656081|generation:0.3632
sequence:4|latency:0.321624|reception:0.73584|generation:0.414216
sequence:5|latency:0.086822|reception:0.82807|generation:0.741248
sequence:6|latency:0.173412|reception:0.923094|generation:0.749682
sequence:7|latency:0.181834|reception:1.080539|generation:0.898705
sequence:8|latency:0.23011|reception:1.216751|generation:0.986641
sequence:9|latency:0.310241|reception:1.32519|generation:1.014949
sequence:10|latency:0.275741|reception:1.438278|generation:1.162537
sequence:11|latency:0.23923|reception:1.541532|generation:1.302302
sequence:12|latency:0.240303|reception:1.677903|generation:1.4376
sequence:13|latency:0.307269|reception:1.803865|generation:1.496596
sequence:14|latency:0.281649|reception:1.945398|generation:1.663749
sequence:15|latency:0.092893|reception:2.026525|generation:1.933632
sequence:16|latency:0.199379|reception:2.172193|generation:1.972814
sequence:17|latency:0.064456|reception:2.310165|generation:2.245709
sequence:18|latency:0.068472|reception:2.498927|generation:2.430455
sequence:19|latency:0.128323|reception:2.585293|generation:2.45697
sequence:20|latency:0.106694|reception:2.866255|generation:2.759561
total run time:2.511954
