sequence:0|latency:0.075776|reception:0.075776|generation:0.0
sequence:1|latency:0.09631|reception:0.283186|generation:0.186876
sequence:2|latency:0.1188|reception:0.46957|generation:0.35077
sequence:3|latency:0.093562|reception:0.579613|generation:0.486051
sequence:4|latency:0.082444|reception:0.808175|generation:0.725731
sequence:5|latency:0.10806|reception:0.9333|generation:0.82524
sequence:6|latency:0.112242|reception:1.082601|generation:0.970359
sequence:7|latency:0.16263|reception:1.158585|generation:0.995955
sequence:8|latency:0.230662|reception:1.311929|generation:1.081267
sequence:9|latency:0.297808|reception:1.418678|generation:1.12087
sequence:10|latency:0.195554|reception:1.509453|generation:1.313899
sequence:11|latency:0.085364|reception:1.585609|generation:1.500245
sequence:12|latency:0.167667|reception:1.680452|generation:1.512785
sequence:13|latency:0.28522|reception:1.806951|generation:1.521731
sequence:14|latency:0.28886|reception:1.897117|generation:1.608257
sequence:15|latency:0.506629|reception:2.122005|generation:1.615376
sequence:16|latency:0.642702|reception:2.270659|generation:1.627957
sequence:17|latency:0.636162|reception:2.354112|generation:1.71795
sequence:18|latency:0.673295|reception:2.44964|generation:1.776345
sequence:19|latency:0.736759|reception:2.51376|generation:1.777001
sequence:20|latency:0.806007|reception:2.778294|generation:1.972287
sequence:21|latency:0.719144|reception:2.852115|generation:2.132971
sequence:22|latency:0.724367|reception:2.93567|generation:2.211303
sequence:23|latency:0.701472|reception:3.065607|generation:2.364135
sequence:24|latency:0.725041|reception:3.20131|generation:2.476269
sequence:25|latency:0.775493|reception:3.318336|generation:2.542843
sequence:26|latency:0.686518|reception:3.382035|generation:2.695517
sequence:27|latency:0.572583|reception:3.442394|generation:2.869811
sequence:28|latency:0.591723|reception:3.5716|generation:2.979877
sequence:29|latency:0.662603|reception:3.715655|generation:3.053052
sequence:30|latency:0.632902|reception:3.785301|generation:3.152399
sequence:31|latency:0.663219|reception:3.867569|generation:3.20435
sequence:32|latency:0.720102|reception:3.963522|generation:3.24342
sequence:33|latency:0.788553|reception:4.081928|generation:3.293375
sequence:34|latency:0.920773|reception:4.223092|generation:3.302319
sequence:35|latency:0.998999|reception:4.323475|generation:3.324476
sequence:36|latency:0.792672|reception:4.458687|generation:3.666015
sequence:37|latency:0.738514|reception:4.587095|generation:3.848581
sequence:38|latency:0.835814|reception:4.738653|generation:3.902839
sequence:39|latency:0.908604|reception:4.886246|generation:3.977642
sequence:40|latency:1.004025|reception:4.994167|generation:3.990142
sequence:41|latency:1.117192|reception:5.133572|generation:4.01638
sequence:42|latency:1.197822|reception:5.254314|generation:4.056492
sequence:43|latency:1.325096|reception:5.408205|generation:4.083109
sequence:44|latency:1.36494|reception:5.485737|generation:4.120797
sequence:45|latency:1.263103|reception:5.59033|generation:4.327227
sequence:46|latency:1.291787|reception:5.654765|generation:4.362978
sequence:47|latency:1.313267|reception:5.73205|generation:4.418783
sequence:48|latency:1.410135|reception:5.885459|generation:4.475324
sequence:49|latency:1.439163|reception:6.042475|generation:4.603312
sequence:50|latency:1.441228|reception:6.101521|generation:4.660293
sequence:51|latency:1.540728|reception:6.229517|generation:4.688789
sequence:52|latency:1.583072|reception:6.33803|generation:4.754958
sequence:53|latency:1.404604|reception:6.423105|generation:5.018501
sequence:54|latency:1.169341|reception:6.593541|generation:5.4242
sequence:55|latency:1.298157|reception:6.732092|generation:5.433935
sequence:56|latency:1.404127|reception:6.887274|generation:5.483147
sequence:57|latency:1.367225|reception:6.992113|generation:5.624888
sequence:58|latency:1.241053|reception:7.097545|generation:5.856492
sequence:59|latency:0.906407|reception:7.24023|generation:6.333823
sequence:60|latency:0.981943|reception:7.341022|generation:6.359079
sequence:61|latency:1.046871|reception:7.475833|generation:6.428962
sequence:62|latency:1.135928|reception:7.614389|generation:6.478461
sequence:63|latency:1.197243|reception:7.752678|generation:6.555435
sequence:64|latency:1.088765|reception:7.840399|generation:6.751634
sequence:65|latency:1.103095|reception:7.918573|generation:6.815478
sequence:66|latency:1.092913|reception:8.035179|generation:6.942266
sequence:67|latency:0.988089|reception:8.099974|generation:7.111885
sequence:68|latency:1.055339|reception:8.198254|generation:7.142915
sequence:69|latency:1.16697|reception:8.317576|generation:7.150606
sequence:70|latency:1.266509|reception:8.452477|generation:7.185968
sequence:71|latency:1.354852|reception:8.58871|generation:7.233858
sequence:72|latency:1.41004|reception:8.679959|generation:7.269919
sequence:73|latency:1.444071|reception:8.809239|generation:7.365168
sequence:74|latency:1.506928|reception:8.964144|generation:7.457216
sequence:75|latency:1.571379|reception:9.121025|generation:7.549646
sequence:76|latency:1.631606|reception:9.241688|generation:7.610082
sequence:77|latency:1.496353|reception:9.309223|generation:7.81287
sequence:78|latency:1.240483|reception:9.408686|generation:8.168203
sequence:79|latency:1.156168|reception:9.514117|generation:8.357949
sequence:80|latency:1.147619|reception:9.587742|generation:8.440123
sequence:81|latency:1.214152|reception:9.703865|generation:8.489713
sequence:82|latency:1.349932|reception:9.844799|generation:8.494867
sequence:83|latency:1.015478|reception:9.904551|generation:8.889073
total run time:9.828775
