sequence:0|latency:0.094978|reception:0.094978|generation:0.0
sequence:1|latency:0.156655|reception:0.331415|generation:0.17476
sequence:2|latency:0.136253|reception:1.41429|generation:1.278037
sequence:3|latency:0.212406|reception:1.565732|generation:1.353326
sequence:4|latency:0.26294|reception:1.693861|generation:1.430921
sequence:5|latency:0.120322|reception:1.823764|generation:1.703442
sequence:6|latency:0.229869|reception:1.951555|generation:1.721686
sequence:7|latency:0.126969|reception:2.069453|generation:1.942484
sequence:8|latency:0.241175|reception:2.194547|generation:1.953372
sequence:9|latency:0.252695|reception:2.266897|generation:2.014202
sequence:10|latency:0.391897|reception:2.407467|generation:2.01557
sequence:11|latency:0.229161|reception:2.510451|generation:2.28129
sequence:12|latency:0.066811|reception:2.665697|generation:2.598886
sequence:13|latency:0.136254|reception:2.763419|generation:2.627165
sequence:14|latency:0.21562|reception:2.878438|generation:2.662818
sequence:15|latency:0.280789|reception:2.974267|generation:2.693478
sequence:16|latency:0.325476|reception:3.05301|generation:2.727534
sequence:17|latency:0.233724|reception:3.202834|generation:2.96911
sequence:18|latency:0.066712|reception:3.432914|generation:3.366202
sequence:19|latency:0.116769|reception:3.721991|generation:3.605222
sequence:20|latency:0.126845|reception:3.799583|generation:3.672738
sequence:21|latency:0.114758|reception:3.865947|generation:3.751189
sequence:22|latency:0.084361|reception:3.959417|generation:3.875056
sequence:23|latency:0.074378|reception:4.163727|generation:4.089349
sequence:24|latency:0.066624|reception:4.48876|generation:4.422136
sequence:25|latency:0.19644|reception:4.619921|generation:4.423481
sequence:26|latency:0.068897|reception:5.177653|generation:5.108756
sequence:27|latency:0.110192|reception:5.375765|generation:5.265573
sequence:28|latency:0.09463|reception:5.456224|generation:5.361594
sequence:29|latency:0.134235|reception:5.558857|generation:5.424622
sequence:30|latency:0.062281|reception:5.794933|generation:5.732652
sequence:31|latency:0.135068|reception:6.082701|generation:5.947633
sequence:32|latency:0.139059|reception:6.469958|generation:6.330899
sequence:33|latency:0.069946|reception:6.705021|generation:6.635075
sequence:34|latency:0.087087|reception:7.43928|generation:7.352193
sequence:35|latency:0.121582|reception:7.51212|generation:7.390538
sequence:36|latency:0.156044|reception:7.695697|generation:7.539653
sequence:37|latency:0.260284|reception:7.812207|generation:7.551923
sequence:38|latency:0.102992|reception:8.024713|generation:7.921721
sequence:39|latency:0.113341|reception:8.20817|generation:8.094829
sequence:40|latency:0.174296|reception:8.346745|generation:8.172449
sequence:41|latency:0.101603|reception:8.652859|generation:8.551256
sequence:42|latency:0.13271|reception:8.759347|generation:8.626637
sequence:43|latency:0.19114|reception:8.842691|generation:8.651551
sequence:44|latency:0.102639|reception:9.550312|generation:9.447673
sequence:45|latency:0.15643|reception:9.733732|generation:9.577302
sequence:46|latency:0.191319|reception:9.828774|generation:9.637455
sequence:47|latency:0.25035|reception:9.917519|generation:9.667169
total run time:9.822541
